Z1;Z2;Z3;Z4;K1;K2;K3;K4
278;563;210;393;346;416;388;482
331;392;230;478;415;501;281;400
378;88;444;660;598;640;87;389
73;360;573;864;781;557;240;642
611;262;563;574;553;744;218;579
532;808;532;468;465;629;567;868
205;271;403;472;443;414;192;462
264;278;149;192;178;289;201;272
164;377;686;266;337;265;258;739
774;453;321;510;457;815;355;504
282;744;124;69;77;228;506;520
722;254;455;547;512;803;222;492
269;610;120;288;246;348;418;440
228;743;263;254;248;301;501;625
359;626;157;481;404;522;435;478
117;692;409;324;329;268;459;708
491;608;225;262;247;481;434;519
393;771;228;308;283;443;532;615
420;65;225;404;357;517;75;208
341;258;610;318;363;414;194;612
102;442;139;438;367;326;295;358
319;528;151;618;510;576;368;417
456;82;558;506;500;601;89;473
361;254;269;290;276;411;193;351
198;572;412;277;294;295;388;641
204;665;286;422;383;384;449;599
115;544;230;240;230;218;363;487
194;594;533;548;527;451;402;747
98;336;278;279;270;229;226;404
109;703;240;378;339;295;466;585
